"Name","Objects","Shallow Size","Retained Size"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","3","96","96"
"sun.reflect.generics.tree.TypeSignature[]","6","96","96"
"sun.reflect.UnsafeBooleanFieldAccessorImpl","4","96","96"
"sun.security.jca.ProviderList$1","1","96","456"
"sun.swing.ImageCache$Entry","3","96","168"
"com.sun.imageio.plugins.bmp.BMPImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.bmp.BMPImageWriterSpi","1","88","208"
"com.sun.imageio.plugins.gif.GIFImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.gif.GIFImageWriterSpi","1","88","208"
"com.sun.imageio.plugins.jpeg.JPEGImageReaderSpi","1","88","216"
"com.sun.imageio.plugins.jpeg.JPEGImageWriterSpi","1","88","216"
"com.sun.imageio.plugins.png.PNGImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.png.PNGImageWriterSpi","1","88","208"
"com.sun.imageio.plugins.wbmp.WBMPImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.wbmp.WBMPImageWriterSpi","1","88","208"
"java.awt.geom.AffineTransform[]","1","88","664"
"$Proxy1","5","80","80"
"$Proxy2","5","80","80"
"com.sun.jmx.mbeanserver.OpenConverter$TabularConverter","2","80","80"
"java.awt.AWTKeyStroke[]","4","80","80"
"java.awt.EventQueueItem[]","2","80","80"
"java.io.ExpiringCache","2","80","1760"
"java.io.File[]","2","80","192"
"java.lang.annotation.Annotation[]","5","80","80"
"java.util.HashMap$ValueIterator","2","80","80"
"javax.swing.plaf.metal.MetalRootPaneUI","2","80","80"
"sun.awt.X11.XRootWindow","1","80","696"
"sun.font.FontDesignMetrics","1","80","1288"
"sun.font.GlyphList","1","80","456"
"sun.misc.Launcher$ExtClassLoader","1","80","10392"
"sun.swing.PrintColorUIResource","2","80","80"
"au.edu.jcu.v4l4j.ResolutionInfo$Type","3","72","72"
"java.awt.AWTEventMulticaster","3","72","72"
"java.awt.DefaultKeyboardFocusManager","1","72","768"
"java.awt.Dialog$ModalExclusionType","3","72","72"
"java.awt.EventFilter$FilterAction","3","72","72"
"java.awt.Point[]","2","72","192"
"java.io.InputStreamReader","3","72","25104"
"java.lang.annotation.RetentionPolicy","3","72","72"
"java.lang.StringCoding$StringDecoder","3","72","168"
"java.nio.DirectByteBuffer$Deallocator","3","72","72"
"java.util.logging.LogManager$RootLogger","1","72","2944"
"java.util.regex.Pattern$6","3","72","560"
"java.util.regex.Pattern$Ctype","3","72","72"
"javax.imageio.spi.PartialOrderIterator","3","72","72"
"javax.management.openmbean.SimpleType[]","1","72","72"
"javax.swing.BufferStrategyPaintManager","1","72","432"
"javax.swing.ButtonGroup","3","72","336"
"javax.swing.plaf.BorderUIResource$CompoundBorderUIResource","3","72","200"
"javax.swing.RepaintManager","1","72","1224"
