"Name","Retained Size","Level"
"char[2000] ""/usr/share/fonts/default/Type1:/usr/share/fonts/stix:/usr/share/fonts/ctan-cm-lgc:/usr/share/fonts/wqy-zenhei:/usr/share/fonts/culmus:/usr/share/X11/fonts/Type1:/usr/share/fonts/smc:/usr/share/fonts/ctan-kerkis:/usr/share/fonts/thai-scalable:/usr/share/fonts/samyak/samyak-oriya:/usr/share/fonts/lyx:/usr/share/fonts/saab:/usr/share/fonts/default/ghostscript:/usr/share/fonts/un-core:/usr/share/fonts/khmeros:/usr/share/fonts/pothana2000:/usr/share/fonts/liberation:/usr/share/fonts/jomolhari:/usr/share/fonts/kacst:/usr/share/fonts/dejavu:/usr/share/fonts/paktype:/usr/share/fonts/lohit-punjabi:/usr/share/fonts/gnu-free:/usr/share/fonts/nafees-web-naskh:/usr/share/fonts/bpg:/usr/share/fonts/lohit-tamil:/usr/share/fonts/lohit-gujarati:/usr/share/fonts/vlgothic:/usr/share/fonts/lohit-bengali:/usr/share/fonts/lohit-malayalam:/usr/share/fonts/wine-symbol-fonts:/usr/share/fonts/tibetan-machine-uni:/usr/share/fonts/cjkuni-ukai:/usr/share/fonts/madan:/usr/share/fonts/samyak/samyak-malayalam:/usr/share/fonts/vemana2000:/usr/share/fonts/ipa-gothic:/usr/share/fonts/lohit-oriya:/usr/share/fonts/samyak/samyak-tamil:/usr/share/fonts/ipa-pgothic:/usr/share/fonts/lohit-telugu:/usr/share/fonts/ipa-pmincho:/usr/share/fonts/lklug:/usr/share/fonts/opensymbol:/usr/share/fonts/wine-marlett-fonts:/usr/share/fonts/abyssinica:/usr/share/fonts/sil-padauk:/usr/share/fonts/samyak/samyak-gujarati:/usr/share/fonts/lohit-devanagari:/usr/share/fonts/samyak/samyak-devanagari:/usr/share/fonts/lohit-assamese:/usr/share/fonts/lohit-kannada:/usr/share/fonts/cjkuni-uming:/usr/share/fonts/kurdit-unikurd-web:/usr/share/fonts/ipa-mincho:/usr/X11R6/lib/X11/fonts/TrueType:/usr/X11R6/lib/X11/fonts/truetype:/usr/X11R6/lib/X11/fonts/tt:/usr/X11R6/lib/X11/fonts/TTF:/usr/X11R6/lib/X11/fonts/OTF:/usr/share/fonts/ja/TrueType:/usr/share/fonts/truetype:/usr/share/fonts/ko/TrueType:/usr/share/fonts/zh_CN/TrueType:/usr/share/fonts/zh_TW/TrueType:/var/lib/defoma/x-ttcidfont-conf.d/dirs/TrueType:/usr/X11R6/lib/X11/fonts/Type1""","4016", "1"
"sun.java2d.SunGraphics2D [Class]","4016", "1"
"sun.awt.X11.XComponentPeer [Class]","3912", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.WorldState","3896", "1"
"java.lang.ref.Finalizer [Held by JVM, JNI Global, Class]","3768", "1"
"java.util.zip.Inflater","3736", "1"
"java.applet.Applet [Class]","3704", "1"
"com.intel.bluetooth.BlueCoveImpl","3624", "1"
"sun.awt.X11.XlibWrapper [Class]","3608", "1"
"javax.swing.CellRendererPane [Class]","3576", "1"
"java.awt.Panel [Class]","3568", "1"
"java.awt.image.BufferedImage [Class]","3560", "1"
"sun.font.EAttribute [Class]","3552", "1"
"java.awt.image.Raster [Class]","3456", "1"
"com.sun.imageio.plugins.png.PNGImageWriter [Class]","3448", "1"
"javax.imageio.spi.SubRegistry","3392", "1"
"javax.imageio.spi.SubRegistry","3392", "1"
"sun.reflect.AccessorGenerator [Class]","3360", "1"
"java.awt.image.ColorModel [Class]","3344", "1"
"sun.misc.MetaIndex [Class]","3240", "1"
"sun.font.FontFamily [Class]","3176", "1"
"com.sun.jmx.mbeanserver.PerInterface","3136", "1"
"javax.imageio.stream.ImageInputStreamImpl [Class]","3136", "1"
"au.edu.jcu.v4l4j.DeviceInfo","3104", "1"
"javax.accessibility.AccessibleContext [Class]","3088", "1"
"java.util.Date [Class]","3080", "1"
"sun.swing.SwingUtilities2 [Class]","3064", "1"
"com.intel.bluetooth.MicroeditionConnector","2992", "1"
"sun.awt.X11.XPanelPeer [Class]","2968", "1"
"[Unreachable] byte[2921] = {0, 10, 10, 9, 9, 100, 102, 10, 9, 10, 10, 100, 10, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 5, 0, 9, 7, 9, 9, 9, 10, 9, 9, 9, 10, 9, 100, 9, 9, 10, 8, 10, 10, ...}","2944", "1"
"java.io.File [Class]","2944", "1"
"java.util.logging.LogManager$RootLogger","2944", "1"
"java.lang.CharacterDataLatin1 [Class]","2912", "1"
"java.util.jar.JarFile [Class]","2904", "1"
